movieId,title,genres,year,title_clean,avg_rating,num_ratings,tags,popularity_score,content_features
21,Get Shorty (1995),Comedy|Crime|Thriller,1995.0,Get Shorty,3.49,89,Hollywood,3.472969370166975,Comedy Crime Thriller Get Shorty Hollywood
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995.0,Copycat,3.22,36,serial killer,3.225931617116967,Crime Drama Horror Mystery Thriller Copycat serial killer
23,Assassins (1995),Action|Crime|Thriller,1995.0,Assassins,3.12,16,,3.1615243276534595,Action Crime Thriller Assassins 
24,Powder (1995),Drama|Sci-Fi,1995.0,Powder,3.12,28,,3.1472874153151307,Drama Sci-Fi Powder 
25,Leaving Las Vegas (1995),Drama|Romance,1995.0,Leaving Las Vegas,3.62,76,alcoholism,3.5893380666991512,Drama Romance Leaving Las Vegas alcoholism
26,Othello (1995),Drama,1995.0,Othello,3.5,13,Shakespeare,3.414752976801478,Drama Othello Shakespeare
27,Now and Then (1995),Children|Drama,1995.0,Now and Then,3.33,9,,3.2978162210018476,Children Drama Now and Then 
28,Persuasion (1995),Drama|Romance,1995.0,Persuasion,4.23,11,In Netflix queue Jane Austen,3.851392196446087,Drama Romance Persuasion In Netflix queue Jane Austen
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995.0,"City of Lost Children, The (Cité des enfants perdus, La)",4.01,38,kidnapping,3.8927791008006567,"Adventure Drama Fantasy Mystery Sci-Fi City of Lost Children, The (Cité des enfants perdus, La) kidnapping"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995.0,Shanghai Triad (Yao a yao yao dao waipo qiao),3.0,3,,3.179505953602956,Crime Drama Shanghai Triad (Yao a yao yao dao waipo qiao) 
31,Dangerous Minds (1995),Drama,1995.0,Dangerous Minds,3.18,38,high school teacher,3.191890211911768,Drama Dangerous Minds high school teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995.0,Twelve Monkeys (a.k.a. 12 Monkeys),3.98,177,time travel time travel Brad Pitt Bruce Willis mindfuck Post apocalyptic post-apocalyptic remake time travel twist ending,3.9524731496523344,Mystery Sci-Fi Thriller Twelve Monkeys (a.k.a. 12 Monkeys) time travel time travel Brad Pitt Bruce Willis mindfuck Post apocalyptic post-apocalyptic remake time travel twist ending
34,Babe (1995),Children|Drama,1995.0,Babe,3.65,128,Animal movie pigs villain nonexistent or not needed for good story,3.629593033600219,Children Drama Babe Animal movie pigs villain nonexistent or not needed for good story
36,Dead Man Walking (1995),Crime|Drama,1995.0,Dead Man Walking,3.84,67,death penalty Nun,3.784798101838237,Crime Drama Dead Man Walking death penalty Nun
38,It Takes Two (1995),Children|Comedy,1995.0,It Takes Two,2.12,4,twins,2.843187230548142,Children Comedy It Takes Two twins
39,Clueless (1995),Comedy|Romance,1995.0,Clueless,3.29,104,chick flick funny Paul Rudd quotable seen more than once Emma Jane Austen,3.2878834192435096,Comedy Romance Clueless chick flick funny Paul Rudd quotable seen more than once Emma Jane Austen
40,"Cry, the Beloved Country (1995)",Drama,1995.0,"Cry, the Beloved Country",4.25,2,In Netflix queue South Africa,3.477228837336618,"Drama Cry, the Beloved Country In Netflix queue South Africa"
41,Richard III (1995),Drama|War,1995.0,Richard III,3.7,15,Shakespeare,3.558866342546798,Drama War Richard III Shakespeare
42,Dead Presidents (1995),Action|Crime|Drama,1995.0,Dead Presidents,3.0,7,,3.128218538287826,Action Crime Drama Dead Presidents 
43,Restoration (1995),Drama,1995.0,Restoration,3.19,8,England,3.2210039690686374,Drama Restoration England
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995.0,Mortal Kombat,2.54,46,,2.6346237648307467,Action Adventure Fantasy Mortal Kombat 
45,To Die For (1995),Comedy|Drama|Thriller,1995.0,To Die For,3.31,32,Journalism,3.3003861419494758,Comedy Drama Thriller To Die For Journalism
46,How to Make an American Quilt (1995),Drama|Romance,1995.0,How to Make an American Quilt,3.07,15,wedding,3.1293208880013434,Drama Romance How to Make an American Quilt wedding
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995.0,Seven (a.k.a. Se7en),3.98,203,mystery twist ending serial killer,3.955881235885855,Mystery Thriller Seven (a.k.a. Se7en) mystery twist ending serial killer
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995.0,Pocahontas,3.15,68,,3.1599341271470607,Animation Children Drama Musical Romance Pocahontas 
49,When Night Is Falling (1995),Drama|Romance,1995.0,When Night Is Falling,3.0,1,,3.2243824420036953,Drama Romance When Night Is Falling 
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995.0,"Usual Suspects, The",4.24,204,mindfuck suspense thriller tricky twist ending heist,4.207369950407723,"Crime Mystery Thriller Usual Suspects, The mindfuck suspense thriller tricky twist ending heist"
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995.0,Mighty Aphrodite,3.46,28,adoption prostitution,3.4192874153151305,Comedy Drama Romance Mighty Aphrodite adoption prostitution
53,Lamerica (1994),Adventure|Drama,1994.0,Lamerica,5.0,2,,3.6438955040032845,Adventure Drama Lamerica 
54,"Big Green, The (1995)",Children|Comedy,1995.0,"Big Green, The",2.33,3,,2.978505953602956,"Children Comedy Big Green, The "
55,Georgia (1995),Drama,1995.0,Georgia,4.0,1,,3.3493824420036953,Drama Georgia 
57,Home for the Holidays (1995),Drama,1995.0,Home for the Holidays,3.06,8,,3.1516706357353037,Drama Home for the Holidays 
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994.0,"Postman, The (Postino, Il)",4.03,37,writing,3.9069331712733995,"Comedy Drama Romance Postman, The (Postino, Il) writing"
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995.0,"Indian in the Cupboard, The",3.24,34,,3.2428063301470624,"Adventure Children Fantasy Indian in the Cupboard, The "
61,Eye for an Eye (1996),Drama|Thriller,1996.0,Eye for an Eye,3.75,6,,3.484235348925351,Drama Thriller Eye for an Eye 
62,Mr. Holland's Opus (1995),Drama,1995.0,Mr. Holland's Opus,3.71,80,music,3.6735064314486157,Drama Mr. Holland's Opus music
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,2.71,7,,2.983218538287826,Comedy Crime Don't Be a Menace to South Central While Drinking Your Juice in the Hood 
64,Two if by Sea (1996),Comedy|Romance,1996.0,Two if by Sea,2.2,5,,2.816254961335797,Comedy Romance Two if by Sea 
65,Bio-Dome (1996),Comedy,1996.0,Bio-Dome,2.53,31,,2.663817356211304,Comedy Bio-Dome 
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996.0,Lawnmower Man 2: Beyond Cyberspace,2.5,9,,2.8309412210018476,Action Sci-Fi Thriller Lawnmower Man 2: Beyond Cyberspace 
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995.0,French Twist (Gazon maudit),3.4,5,,3.316254961335797,Comedy Romance French Twist (Gazon maudit) 
69,Friday (1995),Comedy,1995.0,Friday,3.78,20,,3.644261464297391,Comedy Friday 
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996.0,From Dusk Till Dawn,3.51,55,,3.4813719280004762,Action Comedy Horror Thriller From Dusk Till Dawn 
71,Fair Game (1995),Action,1995.0,Fair Game,1.7,5,,2.6079216280024635,Action Fair Game 
72,Kicking and Screaming (1995),Comedy|Drama,1995.0,Kicking and Screaming,3.21,7,,3.233218538287826,Comedy Drama Kicking and Screaming 
73,"Misérables, Les (1995)",Drama|War,1995.0,"Misérables, Les",3.46,13,,3.388752976801478,"Drama War Misérables, Les "
74,Bed of Roses (1996),Drama|Romance,1996.0,Bed of Roses,4.0,8,,3.6530039690686373,Drama Romance Bed of Roses 
75,Big Bully (1996),Comedy|Drama,1996.0,Big Bully,2.2,5,,2.816254961335797,Comedy Drama Big Bully 
76,Screamers (1995),Action|Sci-Fi|Thriller,1995.0,Screamers,3.4,15,,3.354320888001343,Action Sci-Fi Thriller Screamers 
77,Nico Icon (1995),Documentary,1995.0,Nico Icon,4.0,1,,3.3493824420036953,Documentary Nico Icon 
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,1995.0,"Crossing Guard, The",3.33,3,,3.278505953602956,"Action Crime Drama Thriller Crossing Guard, The "
79,"Juror, The (1996)",Drama|Thriller,1996.0,"Juror, The",2.76,17,,2.904794147334565,"Drama Thriller Juror, The "
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,1995.0,"White Balloon, The (Badkonake sefid)",4.0,2,,3.4216732817810622,"Children Drama White Balloon, The (Badkonake sefid) "
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,1995.0,Things to Do in Denver When You're Dead,3.11,14,,3.15881235885855,Crime Drama Romance Things to Do in Denver When You're Dead 
82,Antonia's Line (Antonia) (1995),Comedy|Drama,1995.0,Antonia's Line (Antonia),3.88,8,,3.5890039690686373,Comedy Drama Antonia's Line (Antonia) 
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,1995.0,Once Upon a Time... When We Were Colored,3.0,1,,3.2243824420036953,Drama Romance Once Upon a Time... When We Were Colored 
85,Angels and Insects (1995),Drama|Romance,1995.0,Angels and Insects,3.86,7,,3.558218538287826,Drama Romance Angels and Insects 
86,White Squall (1996),Action|Adventure|Drama,1996.0,White Squall,3.97,15,,3.7429572516377068,Action Adventure Drama White Squall 
87,Dunston Checks In (1996),Children|Comedy,1996.0,Dunston Checks In,2.5,7,,2.878218538287826,Children Comedy Dunston Checks In 
88,Black Sheep (1996),Comedy,1996.0,Black Sheep,3.16,16,,3.189350414609981,Comedy Black Sheep 
89,Nick of Time (1995),Action|Thriller,1995.0,Nick of Time,3.25,10,,3.2526505609429153,Action Thriller Nick of Time 
92,Mary Reilly (1996),Drama|Horror|Thriller,1996.0,Mary Reilly,2.62,8,Jekyll and Hyde,2.917003969068637,Drama Horror Thriller Mary Reilly Jekyll and Hyde
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1995.0,Vampire in Brooklyn,2.83,9,,3.0165662210018476,Comedy Horror Romance Vampire in Brooklyn 
94,Beautiful Girls (1996),Comedy|Drama|Romance,1996.0,Beautiful Girls,3.95,10,,3.6644152668252685,Comedy Drama Romance Beautiful Girls 
95,Broken Arrow (1996),Action|Adventure|Thriller,1996.0,Broken Arrow,3.02,84,,3.0381874674288967,Action Adventure Thriller Broken Arrow 
96,In the Bleak Midwinter (1995),Comedy|Drama,1995.0,In the Bleak Midwinter,3.5,1,theater,3.2868824420036953,Comedy Drama In the Bleak Midwinter theater
97,"Hate (Haine, La) (1995)",Crime|Drama,1995.0,"Hate (Haine, La)",3.9,10,,3.635003502119386,"Crime Drama Hate (Haine, La) "
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,1995.0,Heidi Fleiss: Hollywood Madam,5.0,2,,3.6438955040032845,Documentary Heidi Fleiss: Hollywood Madam 
100,City Hall (1996),Drama|Thriller,1996.0,City Hall,2.79,14,,2.9454790255252172,Drama Thriller City Hall 
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1996.0,Bottle Rocket,3.78,23,crime off-beat comedy quirky,3.657835317867652,Adventure Comedy Crime Romance Bottle Rocket crime off-beat comedy quirky
102,Mr. Wrong (1996),Comedy,1996.0,Mr. Wrong,2.4,5,,2.8995882946691305,Comedy Mr. Wrong 
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,1996.0,Unforgettable,3.0,3,,3.179505953602956,Mystery Sci-Fi Thriller Unforgettable 
104,Happy Gilmore (1996),Comedy,1996.0,Happy Gilmore,3.44,99,test tag golf Adam Sandler,3.4278779201512224,Comedy Happy Gilmore test tag golf Adam Sandler
105,"Bridges of Madison County, The (1995)",Drama|Romance,1995.0,"Bridges of Madison County, The",3.28,23,,3.274501984534319,"Drama Romance Bridges of Madison County, The "
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,1994.0,Nobody Loves Me (Keiner liebt mich),4.0,1,,3.3493824420036953,Comedy Drama Nobody Loves Me (Keiner liebt mich) 
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,1996.0,Muppet Treasure Island,3.33,26,muppets,3.314395743516047,Adventure Children Comedy Musical Muppet Treasure Island muppets
108,Catwalk (1996),Documentary,1996.0,Catwalk,4.0,1,,3.3493824420036953,Documentary Catwalk 
110,Braveheart (1995),Action|Drama|War,1995.0,Braveheart,4.03,237,beautiful scenery epic historical inspirational Medieval mel gibson Oscar (Best Cinematography) revenge sword fight Scotland,4.007807621049301,Action Drama War Braveheart beautiful scenery epic historical inspirational Medieval mel gibson Oscar (Best Cinematography) revenge sword fight Scotland
111,Taxi Driver (1976),Crime|Drama|Thriller,1976.0,Taxi Driver,4.11,104,assassination,4.056171707531798,Crime Drama Thriller Taxi Driver assassination
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,1995.0,Rumble in the Bronx (Hont faan kui),3.54,46,,3.5025482931326333,Action Adventure Comedy Crime Rumble in the Bronx (Hont faan kui) 
113,Before and After (1996),Drama|Mystery,1996.0,Before and After,3.33,3,,3.278505953602956,Drama Mystery Before and After 
116,Anne Frank Remembered (1995),Documentary,1995.0,Anne Frank Remembered,3.9,5,Holocaust,3.5245882946691305,Documentary Anne Frank Remembered Holocaust
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,1995.0,"Young Poisoner's Handbook, The",3.0,1,,3.2243824420036953,"Crime Drama Young Poisoner's Handbook, The "
118,If Lucy Fell (1996),Comedy|Romance,1996.0,If Lucy Fell,2.5,2,,3.0883399484477287,Comedy Romance If Lucy Fell 
119,"Steal Big, Steal Little (1995)",Comedy,1995.0,"Steal Big, Steal Little",3.0,2,,3.19945105955884,"Comedy Steal Big, Steal Little "
121,"Boys of St. Vincent, The (1992)",Drama,1992.0,"Boys of St. Vincent, The",4.0,2,,3.4216732817810622,"Drama Boys of St. Vincent, The "
122,Boomerang (1992),Comedy|Romance,1992.0,Boomerang,2.66,16,dating,2.8415243276534596,Comedy Romance Boomerang dating
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,1994.0,Chungking Express (Chung Hing sam lam),4.38,4,,3.6650054123663236,Drama Mystery Romance Chungking Express (Chung Hing sam lam) 
125,Flirting With Disaster (1996),Comedy,1996.0,Flirting With Disaster,3.58,12,,3.4607926071594504,Comedy Flirting With Disaster 
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,1994.0,"NeverEnding Story III, The",2.0,7,,2.628218538287826,"Adventure Children Fantasy NeverEnding Story III, The "
128,Jupiter's Wife (1994),Documentary,1994.0,Jupiter's Wife,3.0,1,,3.2243824420036953,Documentary Jupiter's Wife 
129,Pie in the Sky (1996),Comedy|Romance,1996.0,Pie in the Sky,2.0,1,,3.0993824420036953,Comedy Romance Pie in the Sky 
132,Jade (1995),Thriller,1995.0,Jade,2.83,6,,3.059619964309966,Thriller Jade 
135,Down Periscope (1996),Comedy,1996.0,Down Periscope,2.95,31,,3.006448935158673,Comedy Down Periscope 
137,Man of the Year (1995),Documentary,1995.0,Man of the Year,3.0,1,,3.2243824420036953,Documentary Man of the Year 
140,Up Close and Personal (1996),Drama|Romance,1996.0,Up Close and Personal,3.5,16,journalism,3.425872153740416,Drama Romance Up Close and Personal journalism
141,"Birdcage, The (1996)",Comedy,1996.0,"Birdcage, The",3.49,86,,3.472419995011071,"Comedy Birdcage, The "
144,"Brothers McMullen, The (1995)",Comedy,1995.0,"Brothers McMullen, The",3.33,12,,3.302897870317345,"Comedy Brothers McMullen, The "
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,1995.0,Bad Boys,3.25,51,,3.2507768885522337,Action Comedy Crime Drama Thriller Bad Boys 
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,1995.0,"Amazing Panda Adventure, The",3.33,3,,3.278505953602956,"Adventure Children Amazing Panda Adventure, The "
147,"Basketball Diaries, The (1995)",Drama,1995.0,"Basketball Diaries, The",3.47,15,addiction heroin Leonardo DiCaprio Mark Wahlberg,3.402048160728616,"Drama Basketball Diaries, The addiction heroin Leonardo DiCaprio Mark Wahlberg"
148,"Awfully Big Adventure, An (1995)",Drama,1995.0,"Awfully Big Adventure, An",5.0,1,,3.4743824420036953,"Drama Awfully Big Adventure, An "
149,Amateur (1994),Crime|Drama|Thriller,1994.0,Amateur,2.0,1,,3.0993824420036953,Crime Drama Thriller Amateur 
150,Apollo 13 (1995),Adventure|Drama|IMAX,1995.0,Apollo 13,3.85,201,moon NASA space,3.8300243246924497,Adventure Drama IMAX Apollo 13 moon NASA space
151,Rob Roy (1995),Action|Drama|Romance|War,1995.0,Rob Roy,3.55,44,,3.50970704972607,Action Drama Romance War Rob Roy 
152,"Addiction, The (1995)",Drama|Horror,1995.0,"Addiction, The",1.5,2,,2.866117726225507,"Drama Horror Addiction, The "
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,1995.0,Batman Forever,2.92,137,superhero superhero,2.9363545801113164,Action Adventure Comedy Crime Batman Forever superhero superhero
154,Beauty of the Day (Belle de jour) (1967),Drama,1967.0,Beauty of the Day (Belle de jour),3.88,12,,3.650266291369977,Drama Beauty of the Day (Belle de jour) 
155,Beyond Rangoon (1995),Adventure|Drama|War,1995.0,Beyond Rangoon,2.42,6,,2.8703891950791967,Adventure Drama War Beyond Rangoon 
156,Blue in the Face (1995),Comedy|Drama,1995.0,Blue in the Face,3.33,3,,3.278505953602956,Comedy Drama Blue in the Face 
157,Canadian Bacon (1995),Comedy|War,1995.0,Canadian Bacon,2.86,11,,3.0141699742238646,Comedy War Canadian Bacon 
158,Casper (1995),Adventure|Children,1995.0,Casper,2.81,62,,2.855290717913472,Adventure Children Casper 
159,Clockers (1995),Crime|Drama|Mystery,1995.0,Clockers,2.89,14,,3.0121456921918837,Crime Drama Mystery Clockers 
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,1995.0,Congo,2.88,57,Michael Crichton,2.9211728052504617,Action Adventure Mystery Sci-Fi Congo Michael Crichton
161,Crimson Tide (1995),Drama|Thriller|War,1995.0,Crimson Tide,3.64,103,submarine,3.6155914503275417,Drama Thriller War Crimson Tide submarine
162,Crumb (1994),Documentary,1994.0,Crumb,4.21,17,In Netflix queue,3.931877480667899,Documentary Crumb In Netflix queue
163,Desperado (1995),Action|Romance|Western,1995.0,Desperado,3.56,66,,3.5308912265209527,Action Romance Western Desperado 
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,1995.0,Devil in a Blue Dress,3.32,14,,3.29881235885855,Crime Film-Noir Mystery Thriller Devil in a Blue Dress 
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,1995.0,Die Hard: With a Vengeance,3.56,144,,3.5459275465962223,Action Crime Thriller Die Hard: With a Vengeance 
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,1995.0,"Doom Generation, The",2.83,3,,3.1285059536029562,"Comedy Crime Drama Doom Generation, The "
168,First Knight (1995),Action|Drama|Romance,1995.0,First Knight,3.08,54,,3.100246877639829,Action Drama Romance First Knight 
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,1995.0,Free Willy 2: The Adventure Home,2.4,10,,2.7526505609429153,Adventure Children Drama Free Willy 2: The Adventure Home 
170,Hackers (1995),Action|Adventure|Crime|Thriller,1995.0,Hackers,3.23,35,,3.2344061794292753,Action Adventure Crime Thriller Hackers 
171,Jeffrey (1995),Comedy|Drama,1995.0,Jeffrey,3.83,6,,3.521158425848428,Comedy Drama Jeffrey 
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,1995.0,Johnny Mnemonic,2.68,53,,2.7472509922671593,Action Sci-Fi Thriller Johnny Mnemonic 
173,Judge Dredd (1995),Action|Crime|Sci-Fi,1995.0,Judge Dredd,2.67,62,,2.7294936164641963,Action Crime Sci-Fi Judge Dredd 
174,Jury Duty (1995),Comedy,1995.0,Jury Duty,2.7,10,,2.9291211491782096,Comedy Jury Duty 
175,Kids (1995),Drama,1995.0,Kids,3.98,20,controversial New York City Nudity (Full Frontal),3.7924096124455393,Drama Kids controversial New York City Nudity (Full Frontal)
176,Living in Oblivion (1995),Comedy,1995.0,Living in Oblivion,4.31,13,,3.941252976801478,Comedy Living in Oblivion 
177,Lord of Illusions (1995),Horror,1995.0,Lord of Illusions,2.75,8,,2.986337302401971,Horror Lord of Illusions 
178,Love & Human Remains (1993),Comedy|Drama,1993.0,Love & Human Remains,1.0,1,,2.9743824420036953,Comedy Drama Love & Human Remains 
179,Mad Love (1995),Drama|Romance,1995.0,Mad Love,1.5,2,,2.866117726225507,Drama Romance Mad Love 
180,Mallrats (1995),Comedy|Romance,1995.0,Mallrats,3.4,36,,3.376629291535571,Comedy Romance Mallrats 
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,1995.0,Mighty Morphin Power Rangers: The Movie,2.26,17,,2.5506274806678984,Action Children Mighty Morphin Power Rangers: The Movie 
183,Mute Witness (1994),Comedy|Horror|Thriller,1994.0,Mute Witness,3.5,2,,3.310562170669951,Comedy Horror Thriller Mute Witness 
184,Nadja (1994),Drama,1994.0,Nadja,3.5,2,,3.310562170669951,Drama Nadja 
185,"Net, The (1995)",Action|Crime|Thriller,1995.0,"Net, The",3.04,112,computers,3.0527315927397445,"Action Crime Thriller Net, The computers"
186,Nine Months (1995),Comedy|Romance,1995.0,Nine Months,2.82,48,,2.8755465370187188,Comedy Romance Nine Months 
187,Party Girl (1995),Comedy,1995.0,Party Girl,4.12,4,,3.5704599578208693,Comedy Party Girl 
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,1995.0,"Prophecy, The",3.46,12,,3.38500313347524,"Fantasy Horror Mystery Prophecy, The "
189,Reckless (1995),Comedy|Fantasy,1995.0,Reckless,3.0,1,,3.2243824420036953,Comedy Fantasy Reckless 
190,Safe (1995),Thriller,1995.0,Safe,2.8,5,,3.066254961335797,Thriller Safe 
191,"Scarlet Letter, The (1995)",Drama|Romance,1995.0,"Scarlet Letter, The",2.42,6,,2.8703891950791967,"Drama Romance Scarlet Letter, The "
193,Showgirls (1995),Drama,1995.0,Showgirls,2.47,35,,2.601072846095942,Drama Showgirls 
194,Smoke (1995),Comedy|Drama,1995.0,Smoke,3.67,18,,3.5542023814411823,Comedy Drama Smoke 
195,Something to Talk About (1995),Comedy|Drama|Romance,1995.0,Something to Talk About,3.1,10,,3.1644152668252685,Comedy Drama Romance Something to Talk About 
196,Species (1995),Horror|Sci-Fi,1995.0,Species,2.67,45,,2.7489434526159533,Horror Sci-Fi Species 
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,1995.0,Strange Days,3.25,28,,3.2512874153151303,Action Crime Drama Mystery Sci-Fi Thriller Strange Days 
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,1964.0,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",4.12,4,Made me cry,3.5704599578208693,"Drama Musical Romance Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) Made me cry"
201,Three Wishes (1995),Drama|Fantasy,1995.0,Three Wishes,3.0,1,,3.2243824420036953,Drama Fantasy Three Wishes 
202,Total Eclipse (1995),Drama|Romance,1995.0,Total Eclipse,3.0,1,,3.2243824420036953,Drama Romance Total Eclipse 
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,1995.0,"To Wong Foo, Thanks for Everything! Julie Newmar",3.43,22,,3.3881055012423986,"Comedy To Wong Foo, Thanks for Everything! Julie Newmar "
204,Under Siege 2: Dark Territory (1995),Action,1995.0,Under Siege 2: Dark Territory,2.72,30,,2.8214880955683665,Action Under Siege 2: Dark Territory 
205,Unstrung Heroes (1995),Comedy|Drama,1995.0,Unstrung Heroes,3.17,9,,3.2078162210018477,Comedy Drama Unstrung Heroes 
206,Unzipped (1995),Documentary,1995.0,Unzipped,3.0,2,,3.19945105955884,Documentary Unzipped 
207,"Walk in the Clouds, A (1995)",Drama|Romance,1995.0,"Walk in the Clouds, A",3.43,21,,3.3866092691439134,"Drama Romance Walk in the Clouds, A "
208,Waterworld (1995),Action|Adventure|Sci-Fi,1995.0,Waterworld,2.91,115,,2.9298775371805705,Action Adventure Sci-Fi Waterworld 
209,White Man's Burden (1995),Drama,1995.0,White Man's Burden,3.17,3,,3.230505953602956,Drama White Man's Burden 
210,Wild Bill (1995),Western,1995.0,Wild Bill,3.0,4,,3.1631872305481417,Western Wild Bill 
211,"Browning Version, The (1994)",Drama,1994.0,"Browning Version, The",3.5,2,,3.310562170669951,"Drama Browning Version, The "
